State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File,,,,,,,,,,,Latitude,Longitude
ZAMFARA,ANKA,BAGEGA,36-01-01-002,BAGEGA II/MAKARANTA,141,750,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,86,0,36,3,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/117461/result_64614_1678126361_thumb.jpg,,,,,,,,,,,11.867299,6.001387
ZAMFARA,BAKURA,BIRNIN TUDU,36-02-02-001,SHIYAR TUDU/PRIMARY SCHOOL,355,832,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,295,0,55,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/117609/result_64814_1677508206_thumb.jpg,,,,,,,,,,,12.654427,6.043782
ZAMFARA,BAKURA,BIRNIN TUDU,36-02-02-012,S/AJIYA II/VILLAGE HEAD OFFICE,261,803,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,184,0,74,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/117620/result_64825_1677507148_thumb.jpg,,,,,,,,,,,12.084631,5.299555
ZAMFARA,BAKURA,DAMRI,36-02-03-001,DAMRI   I/MODEL PRIMARY SCHOOL,551,1289,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,511,0,37,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/117621/result_64832_1677506337_thumb.jpg,,,,,,,,,,,12.441843,5.838036
ZAMFARA,BAKURA,DANKADU,36-02-04-004,MADACCI II/ADULT EDU. CLASS,348,1058,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,129,0,204,14,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/117635/result_64850_1677507248_thumb.jpg,,,,,,,,,,,11.329664,4.333407
ZAMFARA,BAKURA,DAN MANAU,36-02-05-005,DAN MANAU    /  MODEL PRI SCH.,220,989,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,145,1,97,6,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/117650/result_64874_1677485696_thumb.jpg,,,,,,,,,,,11.462316,7.129709
ZAMFARA,BIRNIN MAGAJI,DANFAMI SABON BIRINI,36-03-02-011,SHAMUSHALE I /SHIYAR SABON GARI,100,750,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,60,0,40,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/117723/result_65002_1677514022_thumb.jpg,,,,,,,,,,,12.589229,6.988225
ZAMFARA,BIRNIN MAGAJI,GORA,36-03-03-011,MADAMBAJI    /  GARKAR HAKIMI,49,134,TRUE,-1,TRUE,TRUE,FALSE,FALSE,UNKNOWN,235,0,49,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/117736/result_65020_1677620978_thumb.jpg,,,,,,,,,,,12.452943,6.72835
ZAMFARA,BIRNIN MAGAJI,GUSAMI HAYI,36-03-05-006,SAKEEN KADE   /   KOFAR GIDAN A LABBO,143,649,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,118,0,25,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/117758/result_65056_1677590535_thumb.jpg,,,,,,,,,,,11.979535,8.514164
ZAMFARA,BUKKUYUM,ADABKA,36-04-01-013,KATAFANA / DAN FAGE,41,641,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,34,0,2,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3866/ward/26217/pu/118936/118936-1677778321.pdf,,,,,,,,,,,11.731405,5.579454
ZAMFARA,BUKKUYUM,BUKKUYUM,36-04-02-004,BUKKUYUM I    /   PRIMARY SCHOOL,233,750,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,126,0,88,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3866/ward/26218/pu/118946/118946-1677756598.pdf,,,,,,,,,,,12.137375,5.465616
ZAMFARA,BUKKUYUM,GWASHI,36-04-03-011,RUGAR BABA  / DOGON YARO,179,673,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,126,0,47,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3866/ward/26219/pu/118971/118971-1677760783.pdf,,,,,,,,,,,10.226585,8.809771
ZAMFARA,BUKKUYUM,GWASHI,36-04-03-021,MUKUNAWA DUTSI / YAR INNUWA,35,391,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,31,0,4,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3866/ward/26219/pu/118981/118981-1677763297.pdf,,,,,,,,,,,12.830547,8.14021
ZAMFARA,BUKKUYUM,GWASHI,36-04-03-022,TUNGAR YARA / MAI YARA,171,470,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,38,0,60,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3866/ward/26219/pu/118982/118982-1677763582.pdf,,,,,,,,,,,11.615154,6.597676
ZAMFARA,BUKKUYUM,KYARAM,36-04-04-007,KADO / YAR RUNFA,82,500,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,58,0,19,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3866/ward/26220/pu/118990/118990-1677710538.pdf,,,,,,,,,,,9.088594,7.418669
ZAMFARA,BUKKUYUM,KYARAM,36-04-04-017,ULI / DAN ULI,63,416,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,47,4,9,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3866/ward/26220/pu/119000/119000-1677706068.pdf,,,,,,,,,,,5.785339,6.855771
ZAMFARA,BUKKUYUM,NASARAWA,36-04-06-003,SHIYAR MAGAJI III / SHIYAR MAGAJI,231,770,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,68,0,140,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3866/ward/26222/pu/119010/119010-1677750629.pdf,,,,,,,,,,,13.141768,6.817101
